"Acionamentos Elétricos"
"Agregações em classificadores baseados em regras difusas"
"ALFABETIZACAO DIGITAL"
"Alfabetização Digital"
"Alfabetização Digital "
"Alfabetização digital - Esp em Tec Inf e Com na Edu - EAD"
"Alfabetização digital - Esp Soc Ens Med - EAD"
"Algorithms and Data Structures"
"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES I"
"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES II"
"Algoritmos Computacionais"
"Algoritmos Computacionais I"
"Algoritmos Computacionais II"
"Algoritmos e Estruturas de Dados"
"Algoritmos e Estruturas de Dados I"
"Algoritmos e Estruturas de Dados II"
"Algoritmos e Programas"
"Algoritmos para Engenharia de Automação"
"ANALISE DE ALGORITMOS"
"Análise de Dados em Planilhas Eletrônicas"
"Análise de Dados Não-Estruturados e Mídias Sociais"
"Análise e Laboratórios de Circuitos"
"Aprendizado de Máquina Aplicado à Bioinformática (Engª de Comp / ME)"
"Aprendizagem por Reforço: Fundamentos, Métodos e Aplicações"
"Aquisição e Condicionamento de Dados (Esp Engª Autom e Instrum)"
"Aquisição e Condicionamento de Dados (Esp Engª Elétrica)"
"ARQUIT. DE COMPUTADORES I"
"ARQUIT. DE COMPUTADORES II"
"Arquitetura da Internet"
"Arquitetura de Computadores"
"Arquitetura e Organização de Computadores"
"Atividade de Integração Curricular I"
"Atividade de Integração Curricular II"
"Atividade de Integração Curricular III"
"Atividade de Integração Curricular IV"
"Atividades de Integração Curricular I"
"Atividades de Integração Curricular II"
"Atividades de Integração Curricular III"
"Atividades de Integração Curricular IV"
"Atividades Interdisciplinares"
"Atualidades em Automação"
"Automação e Robótica Inteligentes"
"Banco de dados SQL e no SQL"
"BANCOS DE DADOS - C"
Bioinformática
"Bioinformática I"
"Bioinformática II"
"Ciência de Dados em Escala"
"Ciência de Dados na Organização"
"Circuitos Elétricos e Eletrônica"
"Compatibilidade Magnética em Sistemas Elétricos"
Compiladores
COMPUTACAO
Computação
"COMPUTACAO APLICADA"
"Computação Científica"
"Computação Difusa e Intervalar"
"COMPUTACAO GRAFICA"
"Computação Heterogênea"
"Confiabilidade, Redundância e Critérios de Desempenho"
"Conservação de Energia e Legislação de Tarifas"
"Controle não Linear"
"Conversão de Energia"
"Conversão de Energia e Acionamentos"
"Criatividade e Design Thinking"
"Data Visualization and Exploratory Data Analysis"
"Descoberta de Conhecimento em Banco de Dados"
"Descoberta de Conhecimento em Bancos de Dados"
"Elaboração de Dissertação (Engª de Comp / ME)"
"Elaboração de Dissertação (MOD.COMP.)"
"Elaboração de Tese (Engª de Comp)"
"Elaboração e Análise de Projetos"
"Elementos de Inteligência Artificial"
"Elementos de Teoria da Computação e da Automação"
ELETRO-ELETRONICA
ELETRONICA
"ELETRONICA ANALOGICA"
"ELETRONICA DIGITAL"
"Estágio Docente I (Eng Comp)"
"Estágio Docente II (Eng Comp)"
"Estágio Docente na Graduação (Engª de Comp / ME)"
"Estágio Docente na Graduação.(MC/ME)"
"ESTAGIO SUP. ENG.DA COMPUT."
"Estágio Supervisionado em Engenharia da Computação"
"Estágio Supervisionado em Engenharia de Automação I"
"Estágio Supervisionado em Engenharia de Automação II"
"Estágio Supervisionado em Engenharia de Computação I"
"Estágio Supervisionado em Engenharia de Computação II"
"Estágio Supervisionado em Sistemas de Informação"
"Estrutura de Dados e Linguagem"
"Estrutura de Dados para a Automação"
"ESTRUTURAS DE DADOS"
"Estudo e Seleção de Equipamentos Elétricos"
"Ferramentas para Síntese Física"
"Ferramentas para Sistemas Multiagentes"
"FISICA DA ATMOSFERA"
"Fundamentos de Automação Industrial"
"Fundamentos de Controle"
"Fundamentos de Controle de Processos (Esp Engª Autom e Instrum)"
"Fundamentos de Controle de Processos (Esp Engª Elétrica)"
"Fundamentos de QSMS"
"Fundamentos e Tecnologias para Ambientes Mistos"
"Fundamentos e Tecnologias para Percepção"
"Fundamentos em Tecnologias Educacionais"
"Impacto Social da Automação "
"Implantação e Gestão de Projetos de Automação Industrial"
"Industria 4.0 e Internet das coisas"
"Informática e Internet"
"Informática para Administradores"
"Inovação em Engenharia e Ciências Computacionais"
Instrumentação
"Instrumentação Industrial ( Esp Engª Elétrica)"
"Instrumentação Industrial (Esp Engª Autom. e Instr)"
"Instrumentação para a Engenharia de Automação"
"INTELIGENCIA ARTIFICIAL"
"Inteligência Artificial Distribuída e Sistemas Multiagentes"
"Inteligência Artificial I"
"Inteligência Artificial II"
"INTERACAO OCEANO-ATMOSFERA"
"Interfaces Humano-Computador"
"INTROD CIENC DA COMPUT - C"
"Introdução à Bioinformática"
"Introdução à Ciência da Computação"
"INTRODUÇÃO À COMPUTAÇÃO"
"Introdução à Computação de Alto Desempenho"
"Introdução à Computação Gráfica"
"Introdução a Educação à Distância"
"Introdução à Engenharia da Computação"
"Introdução a Engenharia de Automação"
"Introdução à Engenharia de Automação"
"Introdução a Engenharia de Computação"
"Introdução à Lógica de Programação"
"Introdução à Modelagem Climática"
"Introdução à Programação Matemática"
"Introdução a Recuperação da Informação"
"Introdução à Robótica Inteligente"
"INTRODUCAO A TURBULENCIA"
"Introdução à visualização de dados"
"Introdução ao Aprendizado de Séries Temporais"
"Introdução ao Aprendizado Profundo"
"Introdução e Algoritmos para Biologia Computacional"
"Introduction to Deep Learning"
"LAB INT CIENC COMPUTACAO"
"Laboratório de Inovação"
"Linguagens de Programação"
"Linguagens Formais e Autômatos"
"Linguagens Formais e Teoria da Computação"
"LINGUAGENS PROGRAMACAO I"
"LINGUAGENS PROGRAMACAO II"
"Machine Learning I: Features Learning p/ Antecip de Cenários e Riscos"
"Machine Learning II - Representational Learning (Fim-a-Fim)"
"Manufatura Digital"
"Matemática Discreta"
"Metodologia da Pesquisa Científica"
"Metodologia de trabalho científico"
"Metodologias ativas na Educação em Ciências"
"Métodos Ágeis para Times Analíticos"
"Métodos de Autenticação e Segurança em Redes"
"Métodos de Autenticação e Segurança em Redes - EaD"
"Métodos Numéricos Aplicados"
"Modelagem Computacional aplicada a ambientes"
"Modelagem Computacional aplicada à Educação I"
"Modelagem Computacional aplicada à Educação II"
"Modelagem e Controle de Robôs"
"Modelagem Matemática de Sistemas"
"Modelos Linguísticos e Multimodais para Robótica Autônoma"
"Multiculturalismo crítico e a Educação em ciências"
"Multimídia educativa - ferramentas de autoria"
"Normas e Procedimentos de Projetos Elétricos"
"O uso da informática na prática pedagógica"
"O uso de blogs, flogs, webquest na educação"
"ORGANIZACAO DE COMPUTADORES"
"Organização de Computadores"
Otimização
"Pensamento Computacional e Algorítimos na Educação em Ciências"
"Pesquisa em Computação Aplicada"
"Pesquisa em Robótica e Inteligência Artificial I"
"Pesquisa em Robótica e Inteligência Artificial II"
"Planejamento e Elaboração de Bases de Dados"
"Planejamento e Gerenciamento de Projetos"
"Princípios e Aplicações de Mineração de Dados"
"Processamento de Sinais"
"Programação Básica"
"PROJ. DE SIST. SOFTWARE I"
"PROJ. GRAD. ENG. COMPUTACAO"
"PROJ SIST SOFTWARE II - C"
"Projeto de ação na escola: ambientes de aprendizagem"
"Projeto de ação na escola: comunicação e educação na WEB"
"Projeto de Dissertação (Engª de Comp / ME)"
"Projeto de Graduação em Engenharia de Automação I"
"Projeto de Graduação em Engenharia de Automação II"
"Projeto de Graduação em Engenharia de Computação - I"
"Projeto de Graduação em Engenharia de Computação - II"
"Projeto de Graduação em Engenharia de Computação I"
"Projeto de Graduação em Engenharia de Computação II"
"Projeto de Graduação em Sistemas de Informação"
"Projeto de Graduação em Sistemas de Informação - EAD"
"Projeto de Robôs I"
"Projeto de Robôs II"
"Projeto de Sistemas Digitais"
"Projeto de Tese (Engª de Comp)"
"Projeto e Desenvolvimento de Software 2 - EAD"
"Projeto e Desenvolvimento de Software I"
"Projeto e Desenvolvimento de Software II"
"Propriedade Intelectual e Empreendedorismo em Tecnologia da Informação"
"Proteção e Combate a Incêndio em Sistemas Industriais"
"Redes de Computação Industrial"
"Redes de Computadores"
"Robot Perception"
"Robótica Educativa"
"ROBOTICA PARA ENGENHEIROS"
"Seminário: Inteligência Artificial Generativa na Educ em Ciências"
"SEMINÁRIO: MODELAGEM APLICADA À EDUCAÇÃO I"
"SEMINÁRIO: MODELAGEM APLICADA À EDUCAÇÃO II"
"Serviços de Informação em Rede"
"Simulação Baseada em Agentes"
"Simulação social: teoria e aplicações"
"Sinais e Sistemas"
"Síntese e Análise de Informações Gráficas"
"Sistemas Corporativos I"
"Sistemas Corporativos II"
"Sistemas de Acionamento"
"Sistemas de Automação"
"Sistemas de Automação I"
"Sistemas de Automação II"
"Sistemas de Automação Industrial – Hardware"
"Sistemas de Automação Industrial – Software"
"Sistemas de Computação I"
"Sistemas de Computação II"
